protein_id	beg	end	prokka_function
PDPDEDFA_02289	18141	18429	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
PDPDEDFA_02290	18839	20465	hypothetical protein
PDPDEDFA_02291	20461	20560	hypothetical protein
PDPDEDFA_02292	20912	21326	hypothetical protein
PDPDEDFA_02293	21377	21857	hypothetical protein
PDPDEDFA_02294	21843	22155	hypothetical protein
PDPDEDFA_02295	22288	23077	hypothetical protein
PDPDEDFA_02296	23079	25419	DNA ligase
PDPDEDFA_02297	25521	26529	hypothetical protein
PDPDEDFA_02298	26574	26967	Endoribonuclease MazF9
PDPDEDFA_02299	26966	27191	hypothetical protein
PDPDEDFA_02300	27343	27802	hypothetical protein
PDPDEDFA_02301	27835	28240	hypothetical protein
PDPDEDFA_02302	28480	28597	hypothetical protein
PDPDEDFA_02303	29280	30600	hypothetical protein
PDPDEDFA_02304	30692	31046	hypothetical protein
PDPDEDFA_02305	31042	31435	hypothetical protein
PDPDEDFA_02306	31785	32709	Thiosulfate sulfurtransferase GlpE
PDPDEDFA_02307	33000	38475	hypothetical protein
PDPDEDFA_02308	38952	40116	hypothetical protein
PDPDEDFA_02309	40507	41203	hypothetical protein
PDPDEDFA_02310	1330	2650	2,2-dialkylglycine decarboxylase
PDPDEDFA_02311	2655	3849	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_02312	4099	4906	hypothetical protein
PDPDEDFA_02313	5166	5865	putative D-xylose utilization operon transcriptional repressor
PDPDEDFA_02314	6001	6964	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
PDPDEDFA_02315	6969	8217	hypothetical protein
PDPDEDFA_02316	8427	9522	hypothetical protein
PDPDEDFA_02317	9575	10334	HTH-type transcriptional repressor YvoA
PDPDEDFA_02318	10617	11415	L-fuculose phosphate aldolase
PDPDEDFA_02319	11788	12577	5-keto-4-deoxy-D-glucarate aldolase
PDPDEDFA_02320	12665	13391	HTH-type transcriptional regulator LutR
PDPDEDFA_02321	13597	14446	3-hydroxybutyryl-CoA dehydrogenase
PDPDEDFA_02322	14482	15469	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_02323	15468	16482	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_02324	16481	17489	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_02325	17452	18505	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_02326	18600	19377	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_02327	19424	20504	hypothetical protein
PDPDEDFA_02328	20644	21655	Glycerate dehydrogenase
PDPDEDFA_02329	21848	22568	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
PDPDEDFA_02330	22594	22831	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PDPDEDFA_02331	23259	24042	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_02332	24554	25757	hypothetical protein
PDPDEDFA_02333	26702	28634	Cinnamate reductase
PDPDEDFA_02334	1760	2207	hypothetical protein
PDPDEDFA_02335	2449	4315	Putative multidrug resistance protein MdtD
PDPDEDFA_02336	4564	7006	hypothetical protein
PDPDEDFA_02337	7399	8923	Photosystem I assembly protein Ycf3
